Year,Rank,Rider,Time,Team
1965,50,Henk Nijdam (NED),"+ 1h 02' 02""",Televizier
1965,51,Bas Maliepaard (NED),"+ 1h 03' 42""",Televizier
1965,52,Johny Schleck (LUX),"+ 1h 04' 17""",Pelforth–Sauvage–Lejeune
1965,53,Carlos Echeverría (ESP),"+ 1h 04' 19""",Kas–Kaskol
1965,54,Guido Reybrouck (BEL),"+ 1h 05' 14""",Flandria–Romeo
1965,55,Jo de Roo (NED),"+ 1h 05' 55""",Televizier
1965,56,Joseph Planckaert (BEL),"+ 1h 08' 36""",Solo–Superia
1965,57,Gerben Karstens (NED),"+ 1h 12' 51""",Televizier
1965,58,Pietro Partesotti (ITA),"+ 1h 12' 53""",Salvarani
1965,59,Roland Van de Rijse (BEL),"+ 1h 12' 58""",Flandria–Romeo
1965,60,Henri Dewolf (BEL),"+ 1h 13' 45""",Solo–Superia
1965,61,Frans Aerenhouts (BEL),"+ 1h 15' 10""",Mercier–BP–Hutchinson
1965,62,Jacques Bachelot (FRA),"+ 1h 16' 04""",Margnat–Paloma–Inuri–Dunlop
1965,63,Adriano Portaluppi (ITA),"+ 1h 17' 54""",Molteni–Ignis
1965,64,Robert Cazala (FRA),"+ 1h 20' 18""",Mercier–BP–Hutchinson
1965,65,Esteban Martín (ESP),"+ 1h 20' 51""",Ferrys
1965,66,Anatole Novak (FRA),"+ 1h 22' 08""",Ford France–Gitane
1965,67,Cees Lute (NED),"+ 1h 22' 22""",Ford France–Gitane
1965,68,Italo Mazzacurati (ITA),"+ 1h 23' 33""",Salvarani
1965,69,Joseph Timmermann (BEL),"+ 1h 24' 45""",Wiel's–Groene Leeuw
1965,70,Gilberto Vendemmiati (ITA),"+ 1h 25' 45""",Salvarani
1965,71,Jean Gainche (FRA),"+ 1h 27' 06""",Mercier–BP–Hutchinson
1965,72,Noël Depauw (BEL),"+ 1h 27' 49""",Solo–Superia
1965,73,Adriano Durante (ITA),"+ 1h 28' 05""",Molteni–Ignis
1965,74,Remo Stefanoni (ITA),"+ 1h 28' 11""",Molteni–Ignis
1965,75,Jean-Pierre Genet (FRA),"+ 1h 31' 07""",Mercier–BP–Hutchinson
1965,76,Rogelio Hernández (ESP),"+ 1h 31' 39""",Ferrys
1965,77,Jo De Haan (NED),"+ 1h 37' 16""",Televizier
1965,78,Ambrogio Colombo (ITA),"+ 1h 37' 26""",Molteni–Ignis
1965,79,Francis Blanc (SUI),"+ 1h 40' 43""",Salvarani
1965,80,Guillaume Van Tongerloo (BEL),"+ 1h 41' 28""",Flandria–Romeo
1965,81,Yvo Molenaers (BEL),"+ 1h 41' 42""",Flandria–Romeo
1965,82,Jean-Claude Lefebvre (FRA),"+ 1h 43' 26""",Pelforth–Sauvage–Lejeune
1965,83,Michel Grain (FRA),"+ 1h 43' 26""",Ford France–Gitane
1965,84,Edgar Sorgeloos (BEL),"+ 1h 43' 51""",Solo–Superia
1965,85,Antonio Bertrán (ESP),"+ 1h 45' 30""",Ferrys
1965,86,Diego Ronchini (ITA),"+ 1h 46' 32""",Salvarani
1965,87,Vin Denson (GBR),"+ 1h 46' 36""",Ford France–Gitane
1965,88,François Le Her (FRA),"+ 1h 48' 48""",Margnat–Paloma–Inuri–Dunlop
1965,89,Giacomo Fornoni (ITA),"+ 1h 49' 12""",Molteni–Ignis
1965,90,Leo van Dongen (NED),"+ 1h 49' 28""",Televizier
1965,91,Mario Minieri (ITA),"+ 1h 53' 34""",Salvarani
1965,92,Hubert Ferrer (FRA),"+ 2h 03' 47""",Pelforth–Sauvage–Lejeune
1965,93,André Darrigade (FRA),"+ 2h 14' 18""",Margnat–Paloma–Inuri–Dunlop
1965,94,Jean Milesi (FRA),"+ 2h 22' 38""",Margnat–Paloma–Inuri–Dunlop
1965,95,Raúl Rey (ESP),"+ 2h 23' 37""",Ferrys
1965,96,Joseph Groussard (FRA),"+ 2h 37' 38""",Pelforth–Sauvage–Lejeune
1966,1,Lucien Aimar (FRA),"117h 34' 21""",Ford France–Hutchinson
1966,2,Jan Janssen (NED),"+ 1' 07""",Pelforth–Sauvage–Lejeune
1966,3,Raymond Poulidor (FRA),"+ 2' 02""",Mercier–BP–Hutchinson
1966,4,José Antonio Momeñe (ESP),"+ 5' 19""",Kas–Kaskol
1966,5,Marcello Mugnaini (ITA),"+ 5' 27""",Filotex
1966,6,Herman Van Springel (BEL),"+ 5' 44""",Dr. Mann–Grundig
1966,7,Francisco Gabica (ESP),"+ 6' 25""",Kas–Kaskol
1966,8,Roger Pingeon (FRA),"+ 8' 22""",Peugeot–BP–Michelin
1966,9,Karl-Heinz Kunde (FRG),"+ 9' 06""",Peugeot–BP–Michelin
1966,10,Martin Vandenbossche (BEL),"+ 9' 57""",Roméo–Smith's
1966,11,Antonio Gómez del Moral (ESP),"+ 10' 18""",Kas–Kaskol
1966,12,Rudi Altig (FRG),"+ 11' 18""",Molteni
1966,13,Julio Jiménez (ESP),"+ 11' 18""",Ford France–Hutchinson
1966,14,Valentín Uriona (ESP),"+ 11' 59""",Kas–Kaskol
1966,15,Joaquim Galera (ESP),"+ 13' 02""",Kas–Kaskol
1966,16,Joseph Huysmans (BEL),"+ 14' 39""",Dr. Mann–Grundig
1966,17,Franco Bitossi (ITA),"+ 16' 35""",Filotex
1966,18,Domingo Perurena (ESP),"+ 17' 29""",Fagor
1966,19,Willy Monty (BEL),"+ 18' 23""",Pelforth–Sauvage–Lejeune
1966,20,Mariano Díaz (ESP),"+ 19' 58""",Fagor
1966,21,Raymond Delisle (FRA),"+ 22' 17""",Peugeot–BP–Michelin
1966,22,Esteban Martín (ESP),"+ 22' 59""",Fagor
1966,23,André Zimmermann (FRA),"+ 24' 45""",Peugeot–BP–Michelin
1966,24,Aurelio González (ESP),"+ 26' 02""",Kas–Kaskol
1966,25,Carlos Echeverría (ESP),"+ 26' 47""",Kas–Kaskol
1966,26,Luis Otaño (ESP),"+ 28' 31""",Fagor
1966,27,Armand Desmet (BEL),"+ 28' 42""",Solo–Superia
1966,28,Ginés García (ESP),"+ 30' 11""",Fagor
1966,29,Luis-Pedro Santamarina (ESP),"+ 30' 50""",Fagor
1966,30,Georges Groussard (FRA),"+ 31' 24""",Pelforth–Sauvage–Lejeune
1966,31,Sebastián Elorza (ESP),"+ 32' 32""",Kas–Kaskol
1966,32,Ferdinand Bracke (BEL),"+ 33' 54""",Peugeot–BP–Michelin
1966,33,Frans Brands (BEL),"+ 34' 35""",Roméo–Smith's
1966,34,Edy Schütz (LUX),"+ 34' 56""",Roméo–Smith's
1966,35,Johny Schleck (LUX),"+ 35' 30""",Pelforth–Sauvage–Lejeune
1966,36,Cees Haast (NED),"+ 36' 04""",Televizier–Batavus
1966,37,Gregorio San Miguel (ESP),"+ 38' 13""",Kas–Kaskol
1966,38,Edward Sels (BEL),"+ 39' 50""",Solo–Superia
1966,39,Rolf Wolfshohl (FRG),"+ 41' 28""",Mercier–BP–Hutchinson
1966,40,Willy Planckaert (BEL),"+ 42' 12""",Roméo–Smith's
1966,41,José-Manuel Lopez Rodriguez (ESP),"+ 42' 24""",Fagor
1966,42,Giuseppe Fezzardi (ITA),"+ 44' 44""",Molteni
1966,43,André Foucher (FRA),"+ 48' 47""",Pelforth–Sauvage–Lejeune
1966,44,Ugo Colombo (ITA),"+ 49' 35""",Filotex
1966,45,Arie den Hartog (NED),"+ 49' 43""",Ford France–Hutchinson
1966,46,Gerben Karstens (NED),"+ 50' 13""",Televizier–Batavus
1966,47,Louis Rostollan (FRA),"+ 50' 17""",Kamomé–Dilecta–Dunlop
1966,48,Jesus Aranzabal (ESP),"+ 52' 32""",Fagor
1966,49,Ramón Mendiburu (ESP),"+ 53' 03""",Fagor
1966,50,Raymond Mastrotto (FRA),"+ 53' 21""",Kamomé–Dilecta–Dunlop
1966,51,Henri Duez (FRA),"+ 54' 36""",Peugeot–BP–Michelin
1966,52,André Messelis (BEL),"+ 56' 43""",Dr. Mann–Grundig
1966,53,Guido Reybrouck (BEL),"+ 57' 44""",Roméo–Smith's
1966,54,Christian Raymond (FRA),"+ 59' 53""",Peugeot–BP–Michelin
1966,55,Maurice Izier (FRA),"+ 1h 00' 00""",Pelforth–Sauvage–Lejeune
1966,56,José-Maria Errandonea (ESP),"+ 1h 01' 26""",Fagor
1966,57,Désiré Letort (FRA),"+ 1h 03' 21""",Peugeot–BP–Michelin
1966,58,Edouard Delberghe (FRA),"+ 1h 05' 54""",Pelforth–Sauvage–Lejeune
1966,59,Maurice Benet (FRA),"+ 1h 06' 26""",Kamomé–Dilecta–Dunlop
1966,60,Georges Vandenberghe (BEL),"+ 1h 06' 27""",Roméo–Smith's
1966,61,Jean Stablinski (FRA),"+ 1h 09' 06""",Ford France–Hutchinson
1966,62,André Darrigade (FRA),"+ 1h 10' 42""",Kamomé–Dilecta–Dunlop
1966,63,Roger Swerts (BEL),"+ 1h 12' 02""",Mercier–BP–Hutchinson
1966,64,Hubertus Zilverberg (NED),"+ 1h 14' 08""",Televizier–Batavus
1966,65,Herman Vrancken (BEL),"+ 1h 14' 13""",Dr. Mann–Grundig
1966,66,Michel Grain (FRA),"+ 1h 16' 36""",Ford France–Hutchinson
1966,67,Jean Monteyne (BEL),"+ 1h 16' 54""",Solo–Superia
1966,68,Rik Wouters (NED),"+ 1h 23' 13""",Televizier–Batavus
1966,69,Albertus Geldermans (NED),"+ 1h 25' 23""",Molteni
1966,70,Walter Boucquet (BEL),"+ 1h 25' 31""",Dr. Mann–Grundig
1966,71,Pierre Beuffeuil (FRA),"+ 1h 25' 39""",Kamomé–Dilecta–Dunlop
1966,72,Victor Van Schil (BEL),"+ 1h 27' 42""",Mercier–BP–Hutchinson
1966,73,Henk Nijdam (NED),"+ 1h 28' 20""",Televizier–Batavus
1966,74,Willy In' t Ven (BEL),"+ 1h 31'27""",Dr. Mann–Grundig
1966,75,Jos van der Vleuten (NED),"+ 1h 31' 44""",Televizier–Batavus
1966,76,Henri Dewolf (BEL),"+ 1h 33' 29""",Solo–Superia
1966,77,Guido Neri (ITA),"+ 1h 38' 10""",Molteni
1966,78,Gilbert Bellone (FRA),"+ 1h 38' 28""",Mercier–BP–Hutchinson
1966,79,Jean Milesi (FRA),"+ 1h 45' 43""",Ford France–Hutchinson
1966,80,Robert Cazala (FRA),"+ 1h 54' 16""",Mercier–BP–Hutchinson
1966,81,Yvo Molenaers (BEL),"+ 1h 59' 45""",Roméo–Smith's
1966,82,Paolo Mannucci (ITA),"+ 2h 05' 26""",Filotex
1967,1,Roger Pingeon (FRA),"136h 53' 50""",France
1967,2,Julio Jiménez (ESP),"+ 3' 40""",Spain
1967,3,Franco Balmamion (ITA),"+ 7' 23""",Primavera
1967,4,Désiré Letort (FRA),"+ 8' 18""",Bleuets
1967,5,Jan Janssen (NED),"+ 9' 47""",Netherlands
1967,6,Lucien Aimar (FRA),"+ 9' 47""",France
1967,7,Felice Gimondi (ITA),"+ 10' 14""",Italy
1967,8,Jozef Huysmans (BEL),"+ 16' 45""",Belgium
1967,9,Raymond Poulidor (FRA),"+ 18' 18""",France
1967,10,Fernando Manzaneque (ESP),"+ 19' 22""",Esperanza
1967,11,Hans Junkermann (FRG),"+ 23' 02""",Germany
1967,12,Willy Monty (BEL),"+ 23' 06""",Belgium
1967,13,Frans Brands (BEL),"+ 25' 08""",Belgium
1967,14,Cees Haast (NED),"+ 26' 23""",Netherlands
1967,15,Franco Bodrero (ITA),"+ 26' 30""",Primavera
1967,16,Noël Van Clooster (BEL),"+ 26' 40""",Red Devils
1967,17,José Samyn (FRA),"+ 28' 42""",Bleuets
1967,18,Ginés García (ESP),"+ 28' 56""",Spain
1967,19,André Bayssière (FRA),"+ 29' 23""",Coqs
1967,20,Johny Schleck (LUX),"+ 32' 09""",Switzerland/Luxembourg
1967,21,Henri Rabaute (FRA),"+ 34' 42""",Bleuets
1967,22,Giancarlo Polidori (ITA),"+ 36' 04""",Primavera
1967,23,Jean-Claude Lebaube (FRA),"+ 37' 23""",Coqs
1967,24,Herman Van Springel (BEL),"+ 37' 54""",Belgium
1967,25,Wim Schepers (NED),"+ 38' 15""",Netherlands
1967,26,Raymond Delisle (FRA),"+ 39' 29""",Coqs
1967,27,Roberto Poggiali (ITA),"+ 40' 03""",Italy
1967,28,Victor Van Schil (BEL),"+ 40' 36""",Red Devils
1967,29,Jean-Claude Theillière (FRA),"+ 40' 38""",Coqs
1967,30,Gerben Karstens (NED),"+ 40' 46""",Netherlands
1967,31,Rolf Wolfshohl (FRG),"+ 41' 44""",Germany
1967,32,Flaviano Vicentini (ITA),"+ 45' 02""",Italy
1967,33,José-Manuel Lopez-Rodriguez (ESP),"+ 46' 32""",Spain
1967,34,Ugo Colombo (ITA),"+ 47' 10""",Italy
1967,35,Alfred Rüegg (SUI),"+ 49' 23""",Switzerland/Luxembourg
1967,36,Raymond Mastrotto (FRA),"+ 50' 10""",Coqs
1967,37,Georges Chappe (FRA),"+ 50' 24""",Bleuets
1967,38,Jean Dumont (FRA),"+ 50' 51""",Coqs
1967,39,Michel Grain (FRA),"+ 52' 28""",Coqs
1967,40,Maurice Izier (FRA),"+ 52' 59""",Bleuets
1967,41,Ventura Díaz (ESP),"+ 53' 20""",Esperanza
1967,42,Guido Reybrouck (BEL),"+ 55' 39""",Red Devils
1967,43,Paul In' t Ven (BEL),"+ 56'30""",Red Devils
1967,44,Pietro Scandelli (ITA),"+ 56' 43""",Primavera
1967,45,Georges Vandenberghe (BEL),"+ 57' 49""",Belgium
1967,46,André Foucher (FRA),"+ 59' 41""",France
1967,47,Jozef Spruyt (BEL),"+ 1h 02' 12""",Belgium
1967,48,Angel Ibanez (ESP),"+ 1h 02' 19""",Esperanza
1967,49,Luis-Pedro Santamarina (ESP),"+ 1h 02' 34""",Spain
1967,50,Jesus Aranzabal (ESP),"+ 1h 02' 41""",Esperanza
1967,51,Willy In' t Ven (BEL),"+ 1h 04'40""",Red Devils
1967,52,Dieter Wiedemann (FRG),"+ 1h 06' 21""",Germany
1967,53,Jean Monteyne (BEL),"+ 1h 06' 49""",Red Devils
1967,54,Roger Swerts (BEL),"+ 1h 09' 57""",Red Devils
1967,55,René Binggeli (SUI),"+ 1h 10' 22""",Switzerland/Luxembourg
1967,56,Jorge Marine (ESP),"+ 1h 12' 05""",Esperanza
1967,57,Christian Raymond (FRA),"+ 1h 15' 08""",Bleuets
1967,58,Ambrogio Portalupi (ITA),"+ 1h 15' 33""",Primavera
1967,59,Martin Vandenbossche (BEL),"+ 1h 15' 37""",Belgium
1967,60,Walter Godefroot (BEL),"+ 1h 16' 03""",Red Devils
1967,61,Claudio Michelotto (ITA),"+ 1h 16' 48""",Primavera
1967,62,Barry Hoban (GBR),"+ 1h 17' 29""",Great Britain
1967,63,Herbert Wilde (FRG),"+ 1h 18' 11""",Germany
1967,64,Marino Basso (ITA),"+ 1h 18' 14""",Primavera
1967,65,Luciano Dalla Bona (ITA),"+ 1h 18' 21""",Italy
1967,66,Roger Milliot (FRA),"+ 1h 19' 45""",Bleuets
1967,67,Jos van der Vleuten (NED),"+ 1h 20' 28""",Netherlands
1967,68,Giancarlo Ferretti (ITA),"+ 1h 21' 40""",Italy
1967,69,Arthur Metcalfe (GBR),"+ 1h 22' 37""",Great Britain
1967,70,Louis Pfenninger (SUI),"+ 1h 25' 03""",Switzerland/Luxembourg
1967,71,Huub Zilverberg (NED),"+ 1h 29' 26""",Netherlands
1967,72,Raymond Riotte (FRA),"+ 1h 31' 59""",France
1967,73,Bernard Vifian (SUI),"+ 1h 32' 33""",Switzerland/Luxembourg
1967,74,José-Manuel Lasa (ESP),"+ 1h 34' 09""",Esperanza
1967,75,Hubertus Harings (NED),"+ 1h 36' 06""",Netherlands
1967,76,Jo de Roo (NED),"+ 1h 36' 13""",Netherlands
1967,77,Michel Jacquemin (BEL),"+ 1h 40' 59""",Red Devils
1967,78,Paul Lemeteyer (FRA),"+ 1h 41' 44""",France
1967,79,Willy Spühler (SUI),"+ 1h 43' 11""",Switzerland/Luxembourg
1967,80,Adriano Durante (ITA),"+ 1h 46' 38""",Italy
1967,81,Jean Stablinski (FRA),"+ 1h 50' 07""",France
1967,82,Karl Brand (SUI),"+ 1h 55' 06""",Switzerland/Luxembourg
1967,83,Edouard Delberghe (FRA),"+ 1h 59' 36""",France
1967,84,Colin Lewis (GBR),"+ 1h 59' 50""",Great Britain
1967,85,Ramon Sáez (ESP),"+ 2h 04' 26""",Spain
1967,86,Francis Blanc (SUI),"+ 2h 05' 39""",Switzerland/Luxembourg
1967,87,Mario Minieri (ITA),"+ 2h 07' 55""",Italy
1967,88,Jean-Pierre Genet (FRA),"+ 2h 21' 01""",France
1968,1,Jan Janssen (NED),"133h 49' 42""",Netherlands
1968,2,Herman Van Springel (BEL),"+ 38""",Belgium A
1968,3,Ferdinand Bracke (BEL),"+ 3' 03""",Belgium B
1968,4,Gregorio San Miguel (ESP),"+ 3' 17""",Spain
1968,5,Roger Pingeon (FRA),"+ 3' 29""",France A
1968,6,Rolf Wolfshohl (FRG),"+ 3' 46""",Germany
1968,7,Lucien Aimar (FRA),"+ 4' 44""",France B
1968,8,Franco Bitossi (ITA),"+ 4' 59""",Italy
1968,9,Andrés Gandarias (ESP),"+ 5' 05""",Spain
1968,10,Ugo Colombo (ITA),"+ 7' 55""",Italy
1968,11,Antonio Gómez del Moral (ESP),"+ 8' 11""",Spain
1968,12,Georges Pintens (BEL),"+ 10' 26""",Belgium A
1968,13,Aurelio González (ESP),"+ 10' 42""",Spain
1968,14,André Poppe (BEL),"+ 12' 31""",Belgium A
1968,15,Silvano Schiavon (ITA),"+ 14' 09""",Italy
1968,16,Antoon Houbrechts (BEL),"+ 17' 23""",Belgium B
1968,17,Charly Grosskost (FRA),"+ 17' 26""",France B
1968,18,Georges Vandenberghe (BEL),"+ 18' 02""",Belgium B
1968,19,Flaviano Vicentini (ITA),"+ 18' 19""",Italy
1968,20,Walter Godefroot (BEL),"+ 18' 28""",Belgium B
1968,21,Jean Dumont (FRA),"+ 20' 08""",France C
1968,22,André Bayssière (FRA),"+ 21' 30""",France C
1968,23,Vicente López Carril (ESP),"+ 21' 38""",Spain
1968,24,Adriano Passuello (ITA),"+ 22' 01""",Italy
1968,25,Carlo Chiappano (ITA),"+ 23' 42""",Italy
1968,26,Arie den Hartog (NED),"+ 29' 34""",Netherlands
1968,27,Bernard Guyot (FRA),"+ 30' 49""",France A
1968,28,Michael Wright (GBR),"+ 38' 53""",Great Britain
1968,29,Carlos Echeverría (ESP),"+ 39' 27""",Spain
1968,30,Julio Jiménez (ESP),"+ 39' 56""",Spain
1968,31,Jean-Pierre Ducasse (FRA),"+ 39' 58""",France B
1968,32,Jozef Huysmans (BEL),"+ 42' 28""",Belgium A
1968,33,Barry Hoban (GBR),"+ 43' 28""",Great Britain
1968,34,Frans Brands (BEL),"+ 43' 29""",Belgium A
1968,35,Karl Brand (SUI),"+ 47' 56""",Switzerland/Luxembourg
1968,36,Dieter Puschel (FRG),"+ 48' 48""",Germany
1968,37,Michel Grain (FRA),"+ 49' 07""",France B
1968,38,Sebastián Elorza (ESP),"+ 52' 08""",Spain
1968,39,Willy Spühler (SUI),"+ 58' 18""",Switzerland/Luxembourg
1968,40,Gilbert Bellone (FRA),"+ 1h 04' 56""",France B
1968,41,Jean-Pierre Genet (FRA),"+ 1h 07' 26""",France A
1968,42,Georges Chappe (FRA),"+ 1h 08' 00""",France B
1968,43,Maurice Izier (FRA),"+ 1h 10' 54""",France C
1968,44,Herbert Wilde (FRG),"+ 1h 11' 47""",Germany
1968,45,Christian Raymond (FRA),"+ 1h 13' 07""",France A
1968,46,Daniel Van Rijckeghem (BEL),"+ 1h 13' 31""",Belgium A
1968,47,Jean Monteyne (BEL),"+ 1h 18' 21""",Belgium B
1968,48,Serge Bolley (FRA),"+ 1h 19' 15""",France B
1968,49,Marcel Maes (BEL),"+ 1h 21' 51""",Belgium A
1968,50,Anatole Novak (FRA),"+ 1h 33' 58""",France A
1968,51,Erik De Vlaeminck (BEL),"+ 1h 37' 42""",Belgium B
1968,52,Eric Leman (BEL),"+ 1h 40' 48""",Belgium B
1968,53,Edward Weckx (BEL),"+ 1h 41' 17""",Belgium A
1968,54,Victor Nuelant (BEL),"+ 1h 43' 14""",Belgium B
1968,55,Eddy Beugels (NED),"+ 1h 44' 21""",Netherlands
1968,56,Evert Dolman (NED),"+ 1h 46' 50""",Netherlands
1968,57,Willy In' t Ven (BEL),"+ 1h 47' 29""",Belgium A
1968,58,Jean-Marie Leblanc (FRA),"+ 1h 49' 36""",France B
1968,59,Jean-Louis Bodin (FRA),"+ 1h 49' 50""",France C
1968,60,Remy Van Vreckom (BEL),"+ 1h 51' 12""",Belgium B
1968,61,Mino Denti (ITA),"+ 1h 56' 47""",Italy
1968,62,Vic Denson (GBR),"+ 2h 23' 29""",Great Britain
1968,63,John Clarey (GBR),"+ 2h 43' 28""",Great Britain
1969,1,Eddy Merckx (BEL),"116h 16' 02""",Faema
1969,2,Roger Pingeon (FRA),"+ 17' 54""",Peugeot–BP–Michelin
1969,3,Raymond Poulidor (FRA),"+ 22' 13""",Mercier–BP–Hutchinson
1969,4,Felice Gimondi (ITA),"+ 29' 24""",Salvarani
1969,5,Andrés Gandarias (ESP),"+ 33' 04""",Kas–Kaskol
1969,6,Marinus Wagtmans (NED),"+ 33' 57""",Willem II–Gazelle
1969,7,Pierfranco Vianelli (ITA),"+ 42' 40""",Molteni
1969,8,Joaquim Agostinho (POR),"+ 51' 24""",Frimatic–de Gribaldy–Viva–Wolber
1969,9,Désiré Letort (FRA),"+ 51' 41""",Peugeot–BP–Michelin
1969,10,Jan Janssen (NED),"+ 52' 56""",Bic
1969,11,Joaquim Galera (ESP),"+ 54' 47""",Fagor
1969,12,Lucien Van Impe (BEL),"+ 56' 17""",Sonolor–Lejeune
1969,13,Jean-Claude Theillière (FRA),"+ 1h 04' 58""",Sonolor–Lejeune
1969,14,Wladimiro Panizza (ITA),"+ 1h 05' 16""",Salvarani
1969,15,Eddy Schutz (LUX),"+ 1h 06' 58""",Molteni
1969,16,Jean Dumont (FRA),"+ 1h 07' 25""",Peugeot–BP–Michelin
1969,17,Paul Gutty (FRA),"+ 1h 08' 05""",Frimatic–de Gribaldy–Viva–Wolber
1969,18,Herman Van Springel (BEL),"+ 1h 10' 11""",Dr. Mann–Grundig
1969,19,Eduardo Castelló (ESP),"+ 1h 14' 04""",Kas–Kaskol
1969,20,Michele Dancelli (ITA),"+ 1h 17' 36""",Molteni
1969,21,Francisco Galdós (ESP),"+ 1h 17' 44""",Kas–Kaskol
1969,22,José-Manuel Lopez-Rodriguez (ESP),"+ 1h 21' 20""",Fagor
1969,23,Martin Vandenbossche (BEL),"+ 1h 22' 08""",Faema
1969,24,Francisco Gabica (ESP),"+ 1h 28' 19""",Fagor
1969,25,Bernard Labourdette (FRA),"+ 1h 30' 03""",Mercier–BP–Hutchinson
1969,26,André Zimmermann (FRA),"+ 1h 33' 56""",Sonolor–Lejeune
1969,27,Wilfried David (BEL),"+ 1h 36' 31""",Flandria–De Clerck–Krüger
1969,28,Jozef Spruyt (BEL),"+ 1h 42' 08""",Faema
1969,29,Victor Van Schil (BEL),"+ 1h 49' 08""",Faema
1969,30,Lucien Aimar (FRA),"+ 1h 52' 57""",Bic
1969,31,André Bayssiere (FRA),"+ 1h 57' 58""",Peugeot–BP–Michelin
1969,32,Derek Harrison (GBR),"+ 1h 58' 24""",Frimatic–de Gribaldy–Viva–Wolber
1969,33,André Poppe (BEL),"+ 1h 59' 59""",Dr. Mann–Grundig
1969,34,Stéphane Abrahamian (FRA),"+ 2h 01' 36""",Sonolor–Lejeune
1969,35,Maurice Izier (FRA),"+ 2h 04' 56""",Frimatic–de Gribaldy–Viva–Wolber
1969,36,Dino Zandegù (ITA),"+ 2h 07' 28""",Salvarani
1969,37,Raymond Delisle (FRA),"+ 2h 08' 57""",Peugeot–BP–Michelin
1969,38,Domingo Perurena (ESP),"+ 2h 15' 13""",Fagor
1969,39,Franco Balmamion (ITA),"+ 2h 15' 25""",Salvarani
1969,40,Edward Janssens (BEL),"+ 2h 15' 49""",Mercier–BP–Hutchinson
1969,41,Santiago Lazcano (ESP),"+ 2h 17' 33""",Kas–Kaskol
1969,42,Christian Raymond (FRA),"+ 2h 18' 16""",Peugeot–BP–Michelin
1969,43,Giancarlo Ferretti (ITA),"+ 2h 24' 29""",Salvarani
1969,44,Roger Swerts (BEL),"+ 2h 26' 19""",Faema
1969,45,Gilbert Bellone (FRA),"+ 2h 26' 22""",Bic
1969,46,Jean-Claude Lebaube (FRA),"+ 2h 30' 09""",Frimatic–de Gribaldy–Viva–Wolber
1969,47,Manuel Galera (ESP),"+ 2h 31' 22""",Fagor
1969,48,Jean Vidament (FRA),"+ 2h 33' 17""",Mercier–BP–Hutchinson
1969,49,Evert Dolman (NED),"+ 2h 33' 37""",Willem II–Gazelle
1969,50,Bernard Guyot (FRA),"+ 2h 40' 41""",Sonolor–Lejeune
1969,51,Roberto Poggiali (ITA),"+ 2h 41' 17""",Salvarani
1969,52,Wilfried Peffgen (FRG),"+ 2h 42' 50""",Salvarani
1969,53,Roland Berland (FRA),"+ 2h 43' 47""",Bic
1969,54,Francis Rigon (FRA),"+ 2h 44' 05""",Frimatic–de Gribaldy–Viva–Wolber
1969,55,Robert Bouloux (FRA),"+ 2h 44' 17""",Peugeot–BP–Michelin
1969,56,Georges Vandenberghe (BEL),"+ 2h 44' 17""",Faema
1969,57,Ferdinand Bracke (BEL),"+ 2h 45' 28""",Peugeot–BP–Michelin
1969,58,José Gomez-Lucas (ESP),"+ 2h 46' 12""",Kas–Kaskol
1969,59,Pietro Scandelli (ITA),"+ 2h 46' 42""",Faema
1969,60,Jaak De Boever (BEL),"+ 2h 47' 11""",Flandria–De Clerck–Krüger
1969,61,Nemesio Jimenez (ESP),"+ 2h 47' 59""",Kas–Kaskol
1969,62,Jean-Louis Bodin (FRA),"+ 2h 49' 32""",Frimatic–de Gribaldy–Viva–Wolber
1969,63,Cees Haast (NED),"+ 2h 51' 09""",Willem II–Gazelle
1969,64,Juul Van der Flaas (BEL),"+ 2h 51' 44""",Willem II–Gazelle
1969,65,Gerben Karstens (NED),"+ 2h 52' 17""",Peugeot–BP–Michelin
1969,66,José Catieau (FRA),"+ 2h 53' 46""",Sonolor–Lejeune
1969,67,Barry Hoban (GBR),"+ 2h 54' 02""",Mercier–BP–Hutchinson
1969,68,Jean-Pierre Genet (FRA),"+ 2h 54' 15""",Mercier–BP–Hutchinson
1969,69,Mario Anni (ITA),"+ 2h 54' 18""",Molteni
1969,70,Edouard Delberghe (FRA),"+ 2h 55' 58""",Sonolor–Lejeune
1969,71,Michael Wright (GBR),"+ 2h 56' 47""",Bic
1969,72,Julien Stevens (BEL),"+ 2h 59' 38""",Faema
1969,73,Giacinto Santambrogio (ITA),"+ 3h 01' 27""",Molteni
1969,74,Michel Coulon (BEL),"+ 3h 06' 01""",Flandria–De Clerck–Krüger
1969,75,Paul In' t Ven (BEL),"+ 3h 06'02""",Dr. Mann–Grundig
1969,76,Frans Mintjens (BEL),"+ 3h 07' 06""",Faema
1969,77,Guido Reybrouck (BEL),"+ 3h 08' 00""",Faema
1969,78,Harm Ottenbros (NED),"+ 3h 08' 10""",Willem II–Gazelle
1969,79,Eric Leman (BEL),"+ 3h 12' 13""",Flandria–De Clerck–Krüger
1969,80,Raymond Riotte (FRA),"+ 3h 12' 37""",Mercier–BP–Hutchinson
1969,81,Pietro Guerra (ITA),"+ 3h 15' 53""",Salvarani
1969,82,Marc De Block (BEL),"+ 3h 21' 15""",Flandria–De Clerck–Krüger
1969,83,Eddy Beugels (NED),"+ 3h 21' 52""",Mercier–BP–Hutchinson
