Year,Date,Stage,Course,Distance,Type,Winner
1948,1948-07-05,6,Bordeaux to Biarritz,244 km (152 mi),Plain stage,Louison Bobet (FRA)
1948,1948-07-07,7,Biarritz to Lourdes,219 km (136 mi),Stage with mountain(s),Gino Bartali (ITA)
1948,1948-07-08,8,Lourdes to Toulouse,261 km (162 mi),Stage with mountain(s),Gino Bartali (ITA)
1948,1948-07-10,9,Toulouse to Montpellier,246 km (153 mi),Plain stage,Raymond Impanis (BEL)
1948,1948-07-11,10,Montpellier to Marseille,248 km (154 mi),Plain stage,Raymond Impanis (BEL)
1948,1948-07-12,11,Marseille to Sanremo,245 km (152 mi),Plain stage,Gino Sciardis (ITA)
1948,1948-07-13,12,Sanremo to Cannes,170 km (106 mi),Stage with mountain(s),Louison Bobet (FRA)
1948,1948-07-15,13,Cannes to Briançon,274 km (170 mi),Stage with mountain(s),Gino Bartali (ITA)
1948,1948-07-16,14,Briançon to Aix-les-Bains,263 km (163 mi),Stage with mountain(s),Gino Bartali (ITA)
1948,1948-07-18,15,Aix-les-Bains to Lausanne,256 km (159 mi),Stage with mountain(s),Gino Bartali (ITA)
1948,1948-07-19,16,Lausanne to Mulhouse,243 km (151 mi),Stage with mountain(s),Edward Van Dijck (BEL)
1948,1948-07-21,17,Mulhouse to Strasbourg,120 km (75 mi),Individual time trial,Roger Lambrecht (BEL)
1948,1948-07-22,18,Strasbourg to Metz,195 km (121 mi),Plain stage,Giovanni Corrieri (ITA)
1948,1948-07-23,19,Metz to Liège (Belgium),249 km (155 mi),Plain stage,Gino Bartali (ITA)
1948,1948-07-24,20,Liège (Belgium) to Roubaix,228 km (142 mi),Plain stage,Bernard Gauthier (FRA)
1948,1948-07-25,21,Roubaix to Paris,286 km (178 mi),Plain stage,Giovanni Corrieri (ITA)
1949,1949-06-30,1,Paris to Reims,182 km (113 mi),Plain stage,Marcel Dussault (FRA)
1949,1949-07-01,2,Reims to Brussels (Belgium),273 km (170 mi),Plain stage,Roger Lambrecht (BEL)
1949,1949-07-02,3,Brussels (Belgium) to Boulogne-sur-Mer,211 km (131 mi),Plain stage,Norbert Callens (BEL)
1949,1949-07-03,4,Boulogne-sur-Mer to Rouen,185 km (115 mi),Plain stage,Lucien Teisseire (FRA)
1949,1949-07-04,5,Rouen to Saint-Malo,293 km (182 mi),Plain stage,Ferdinand Kübler (SUI)
1949,1949-07-05,6,Saint-Malo to Les Sables-d'Olonne,305 km (190 mi),Plain stage,Adolphe Deledda (FRA)
1949,1949-07-07,7,Les Sables-d'Olonne to La Rochelle,92 km (57 mi),Individual time trial,Fausto Coppi (ITA)
1949,1949-07-08,8,La Rochelle to Bordeaux,262 km (163 mi),Plain stage,Guy Lapébie (FRA)
1949,1949-07-09,9,Bordeaux to San Sebastián (Spain),228 km (142 mi),Plain stage,Louis Caput (FRA)
1949,1949-07-10,10,San Sebastián (Spain) to Pau,192 km (119 mi),Plain stage,Fiorenzo Magni (ITA)
1949,1949-07-12,11,Pau to Luchon,193 km (120 mi),Stage with mountain(s),Jean Robic (FRA)
1949,1949-07-13,12,Luchon to Toulouse,134 km (83 mi),Plain stage,Rik Van Steenbergen (BEL)
1949,1949-07-14,13,Toulouse to Nîmes,289 km (180 mi),Plain stage,Emile Idée (FRA)
1949,1949-07-15,14,Nîmes to Marseille,199 km (124 mi),Plain stage,Jean Goldschmidt (LUX)
1949,1949-07-16,15,Marseille to Cannes,215 km (134 mi),Plain stage,Désiré Keteleer (BEL)
1949,1949-07-18,16,Cannes to Briançon,275 km (171 mi),Stage with mountain(s),Gino Bartali (ITA)
1949,1949-07-19,17,Briançon to Aosta,257 km (160 mi),Stage with mountain(s),Fausto Coppi (ITA)
1949,1949-07-21,18,Aosta to Lausanne,265 km (165 mi),Stage with mountain(s),Vincenzo Rossello (ITA)
1949,1949-07-22,19,Lausanne to Colmar,283 km (176 mi),Stage with mountain(s),Raphaël Géminiani (FRA)
1949,1949-07-23,20,Colmar to Nancy,137 km (85 mi),Mountain time trial,Fausto Coppi (ITA)
1949,1949-07-24,21,Nancy to Paris,340 km (211 mi),Plain stage,Rik Van Steenbergen (BEL)
1950,1950-07-13,1,Paris to Metz,307 km (191 mi),Plain stage,Jean Goldschmit (LUX)
1950,1950-07-14,2,Metz to Liège (Belgium),241 km (150 mi),Plain stage,Adolfo Leoni (ITA)
1950,1950-07-15,3,Liège (Belgium) to Lille,232.5 km (144 mi),Plain stage,Alfredo Pasotti (ITA)
1950,1950-07-16,4,Lille to Rouen,231 km (144 mi),Plain stage,Stan Ockers (BEL)
1950,1950-07-17,5,Rouen to Dinard,316 km (196 mi),Plain stage,Giovanni Corrieri (ITA)
1950,1950-07-19,6,Dinard to Saint-Brieuc,78 km (48 mi),Individual time trial,Ferdinand Kübler (SUI)
1950,1950-07-20,7,Saint-Brieuc to Angers,248 km (154 mi),Plain stage,Nello Lauredi (FRA)
1950,1950-07-21,8,Angers to Niort,181 km (112 mi),Plain stage,Fiorenzo Magni (ITA)
1950,1950-07-22,9,Niort to Bordeaux,206 km (128 mi),Plain stage,Alfredo Pasotti (ITA)
1950,1950-07-23,10,Bordeaux to Pau,202 km (126 mi),Plain stage,Marcel Dussault (FRA)
1950,1950-07-25,11,Pau to St. Gaudens,230 km (143 mi),Stage with mountain(s),Gino Bartali (ITA)
1950,1950-07-26,12,Saint-Gaudens to Perpignan,233 km (145 mi),Plain stage,Maurice Blomme (BEL)
1950,1950-07-27,13,Perpignan to Nîmes,215 km (134 mi),Plain stage,Marcel Molinès (FRA)
1950,1950-07-28,14,Nîmes to Toulon,222 km (138 mi),Plain stage,Custodio Dos Reis (FRA)
1950,1950-07-29,15,Toulon to Menton[a],205.5 km (128 mi),Stage with mountain(s),Jean Diederich (LUX)
1950,1950-07-30,16,Menton to Nice,96 km (60 mi),Stage with mountain(s),Ferdinand Kübler (SUI)
1950,1950-08-01,17,Nice to Gap,229 km (142 mi),Stage with mountain(s),Raphaël Géminiani (FRA)
1950,1950-08-02,18,Gap to Briançon,165 km (103 mi),Stage with mountain(s),Louison Bobet (FRA)
1950,1950-08-03,19,Briançon to Saint-Étienne,291 km (181 mi),Stage with mountain(s),Raphaël Géminiani (FRA)
1950,1950-08-05,20,Saint-Étienne to Lyon,98 km (61 mi),Mountain time trial,Ferdinand Kübler (SUI)
1950,1950-08-06,21,Lyon to Dijon,233 km (145 mi),Plain stage,Gino Sciardis (FRA)
1950,1950-08-07,22,Dijon to Paris,314 km (195 mi),Plain stage,Émile Baffert (FRA)
1951,1951-07-04,1,Metz to Reims,185 km (115 mi),Plain stage,Giovanni Rossi (SUI)
1951,1951-07-05,2,Reims to Ghent (Belgium),228 km (142 mi),Plain stage,Jean Diederich (LUX)
1951,1951-07-06,3,Ghent (Belgium) to Le Tréport,219 km (136 mi),Plain stage,Georges Meunier (FRA)
1951,1951-07-07,4,Le Tréport to Paris,188 km (117 mi),Plain stage,Roger Lévêque (FRA)
1951,1951-07-08,5,Paris to Caen,215 km (134 mi),Plain stage,Serafino Biagioni (ITA)
1951,1951-07-09,6,Caen to Rennes,182 km (113 mi),Plain stage,Édouard Muller (FRA)
1951,1951-07-10,7,La Guerche-de-Bretagne to Angers,85 km (53 mi),Individual time trial,Hugo Koblet (SUI)
1951,1951-07-11,8,Angers to Limoges,241 km (150 mi),Plain stage,André Rosseel (BEL)
1951,1951-07-13,9,Limoges to Clermont-Ferrand,236 km (147 mi),Stage with mountain(s),Raphaël Géminiani (FRA)
1951,1951-07-14,10,Clermont-Ferrand to Brive,216 km (134 mi),Stage with mountain(s),Bernardo Ruiz (ESP)
1951,1951-07-15,11,Brive to Agen,177 km (110 mi),Plain stage,Hugo Koblet (SUI)
1951,1951-07-16,12,Agen to Dax,185 km (115 mi),Plain stage,Wim van Est (NED)
1951,1951-07-17,13,Dax to Tarbes,201 km (125 mi),Stage with mountain(s),Serafino Biagioni (ITA)
1951,1951-07-18,14,Tarbes to Luchon,142 km (88 mi),Stage with mountain(s),Hugo Koblet (SUI)
1951,1951-07-19,15,Luchon to Carcassonne,213 km (132 mi),Stage with mountain(s),André Rosseel (BEL)
1951,1951-07-20,16,Carcassonne to Montpellier,192 km (119 mi),Plain stage,Hugo Koblet (SUI)
1951,1951-07-22,17,Montpellier to Avignon,224 km (139 mi),Stage with mountain(s),Louison Bobet (FRA)
1951,1951-07-23,18,Avignon to Marseille,173 km (107 mi),Plain stage,Fiorenzo Magni (ITA)
1951,1951-07-24,19,Marseille to Gap,208 km (129 mi),Stage with mountain(s),Armand Baeyens (BEL)
1951,1951-07-25,20,Gap to Briançon,165 km (103 mi),Stage with mountain(s),Fausto Coppi (ITA)
1951,1951-07-26,21,Briançon to Aix-les-Bains,201 km (125 mi),Stage with mountain(s),Bernardo Ruiz (ESP)
1951,1951-07-27,22,Aix-les-Bains to Geneva,97 km (60 mi),Individual time trial,Hugo Koblet (SUI)
1951,1951-07-28,23,Geneva to Dijon,197 km (122 mi),Stage with mountain(s),Germain Derycke (BEL)
1951,1951-07-29,24,Dijon to Paris,322 km (200 mi),Plain stage,Adolphe Deledda (FRA)
1952,1952-06-25,1,Brest to Rennes,246 km (153 mi),Plain stage,Rik Van Steenbergen (BEL)
1952,1952-06-26,2,Rennes to Le Mans,181 km (112 mi),Plain stage,André Rosseel (BEL)
1952,1952-06-27,3,Le Mans to Rouen,189 km (117 mi),Plain stage,Nello Lauredi (FRA)
1952,1952-06-28,4,Rouen to Roubaix,232 km (144 mi),Plain stage,Pierre Molinéris (FRA)
1952,1952-06-29,5,Roubaix to Namur (Belgium),197 km (122 mi),Plain stage,Jean Diederich (LUX)
1952,1952-06-30,6,Namur (Belgium) to Metz,228 km (142 mi),Plain stage,Fiorenzo Magni (ITA)
1952,1952-07-01,7,Metz to Nancy,60 km (37 mi),Individual time trial,Fausto Coppi (ITA)
1952,1952-07-02,8,Nancy to Mulhouse,252 km (157 mi),Stage with mountain(s),Raphaël Géminiani (FRA)
1952,1952-07-03,9,Mulhouse to Lausanne,238 km (148 mi),Stage with mountain(s),Walter Diggelmann (SUI)
1952,1952-07-04,10,Lausanne to Alpe d'Huez,266 km (165 mi),Stage with mountain(s),Fausto Coppi (ITA)
1952,1952-07-06,11,Le Bourg-d'Oisans to Sestriere (Italy),182 km (113 mi),Stage with mountain(s),Fausto Coppi (ITA)
1952,1952-07-07,12,Sestriere (Italy) to Monaco,251 km (156 mi),Stage with mountain(s),Jan Nolten (NED)
1952,1952-07-08,13,Monaco to Aix-en-Provence,214 km (133 mi),Plain stage,Raoul Rémy (FRA)
1952,1952-07-09,14,Aix-en-Provence to Avignon,178 km (111 mi),Stage with mountain(s),Jean Robic (FRA)
1952,1952-07-10,15,Avignon to Perpignan,275 km (171 mi),Plain stage,Georges Decaux (FRA)
1952,1952-07-11,16,Perpignan to Toulouse,200 km (124 mi),Plain stage,André Rosseel (BEL)
1952,1952-07-13,17,Toulouse to Bagnères-de-Bigorre,204 km (127 mi),Stage with mountain(s),Raphaël Géminiani (FRA)
1952,1952-07-14,18,Bagnères-de-Bigorre to Pau,149 km (93 mi),Stage with mountain(s),Fausto Coppi (ITA)
1952,1952-07-15,19,Pau to Bordeaux,195 km (121 mi),Plain stage,Hans Dekkers (NED)
1952,1952-07-16,20,Bordeaux to Limoges,228 km (142 mi),Plain stage,Jacques Vivier (FRA)
1952,1952-07-17,21,Limoges to Puy de Dôme,245 km (152 mi),Stage with mountain(s),Fausto Coppi (ITA)
1952,1952-07-18,22,Clermont-Ferrand to Vichy,63 km (39 mi),Individual time trial,Fiorenzo Magni (ITA)
1952,1952-07-19,23,Vichy to Paris,354 km (220 mi),Plain stage,Antonin Rolland (FRA)
1953,1953-07-03,1,Strasbourg to Metz,195 km (121 mi),Plain stage,Fritz Schär (SUI)
1953,1953-07-04,2,Metz to Liège (Belgium),227 km (141 mi),Plain stage,Fritz Schär (SUI)
1953,1953-07-05,3,Liège (Belgium) to Lille,221 km (137 mi),Plain stage,Stanislas Bober (FRA)
1953,1953-07-06,4,Lille to Dieppe,188 km (117 mi),Plain stage,Gerrit Voorting (NED)
1953,1953-07-07,5,Dieppe to Caen,200 km (124 mi),Plain stage,Jean Malléjac (FRA)
1953,1953-07-08,6,Caen to Le Mans,206 km (128 mi),Plain stage,Martin Van Geneugden (BEL)
1953,1953-07-09,7,Le Mans to Nantes,181 km (112 mi),Plain stage,Livio Isotti (ITA)
1953,1953-07-10,8,Nantes to Bordeaux,345 km (214 mi),Plain stage,Jan Nolten (NED)
1953,1953-07-12,9,Bordeaux to Pau,197 km (122 mi),Plain stage,Fiorenzo Magni (ITA)
1953,1953-07-13,10,Pau to Cauterets,103 km (64 mi),Stage with mountain(s),Jesús Loroño (ESP)
1953,1953-07-14,11,Cauterets to Luchon,115 km (71 mi),Stage with mountain(s),Jean Robic (FRA)
1953,1953-07-15,12,Luchon to Albi,228 km (142 mi),Plain stage,André Darrigade (FRA)
1953,1953-07-16,13,Albi to Béziers,189 km (117 mi),Stage with mountain(s),Nello Lauredi (FRA)
1953,1953-07-17,14,Béziers to Nîmes,214 km (133 mi),Stage with mountain(s),Bernard Quennehen (FRA)
1953,1953-07-18,15,Nîmes to Marseille,173 km (107 mi),Plain stage,Maurice Quentin (FRA)
1953,1953-07-19,16,Marseille to Monaco,236 km (147 mi),Stage with mountain(s),Wim van Est (NED)
1953,1953-07-21,17,Monaco to Gap,261 km (162 mi),Stage with mountain(s),Wout Wagtmans (NED)
1953,1953-07-22,18,Gap to Briançon,165 km (103 mi),Stage with mountain(s),Louison Bobet (FRA)
1953,1953-07-23,19,Briançon to Lyon,227 km (141 mi),Stage with mountain(s),Georges Meunier (FRA)
1953,1953-07-24,20,Lyon to St. Etienne,70 km (43 mi),Individual time trial,Louison Bobet (FRA)
1953,1953-07-25,21,St. Etienne to Montluçon,210 km (130 mi),Plain stage,Wout Wagtmans (NED)
1953,1953-07-26,22,Montluçon to Paris,328 km (204 mi),Plain stage,Fiorenzo Magni (ITA)
1954,1954-07-08,1,Amsterdam (Netherlands) to Brasschaat (Belgium),216 km (134 mi),Plain stage,Wout Wagtmans (NED)
1954,1954-07-09,2,Beveren (Belgium) to Lille,255 km (158 mi),Plain stage,Louison Bobet (FRA)
1954,1954-07-10,3,Lille to Rouen,219 km (136 mi),Plain stage,Marcel Dussault (FRA)
1954,1954-07-11,4a,Rouen to Circuit des Essarts,10.4 km (6 mi),Team time trial,Switzerland
1954,1954-07-11,4b,Rouen to Caen,131 km (81 mi),Plain stage,Wim van Est (NED)
1954,1954-07-12,5,Caen to Saint-Brieuc,224 km (139 mi),Plain stage,Ferdinand Kübler (SUI)
1954,1954-07-13,6,Saint-Brieuc to Brest,179 km (111 mi),Plain stage,Dominique Forlini (FRA)
1954,1954-07-14,7,Brest to Vannes,211 km (131 mi),Plain stage,Jacques Vivier (FRA)
1954,1954-07-15,8,Vannes to Angers,190 km (118 mi),Plain stage,Fred De Bruyne (BEL)
1954,1954-07-16,9,Angers to Bordeaux,343 km (213 mi),Plain stage,Henk Faanhof (NED)
1954,1954-07-18,10,Bordeaux to Bayonne,202 km (126 mi),Plain stage,Gilbert Bauvin (FRA)
1954,1954-07-19,11,Bayonne to Pau,241 km (150 mi),Stage with mountain(s),Stan Ockers (BEL)
1954,1954-07-20,12,Pau to Luchon,161 km (100 mi),Stage with mountain(s),Gilbert Bauvin (FRA)
1954,1954-07-21,13,Luchon to Toulouse,203 km (126 mi),Plain stage,Fred De Bruyne (BEL)
1954,1954-07-22,14,Toulouse to Millau,225 km (140 mi),Stage with mountain(s),Ferdinand Kübler (SUI)
1954,1954-07-23,15,Millau to Le Puy,197 km (122 mi),Stage with mountain(s),Dominique Forlini (FRA)
1954,1954-07-24,16,Le Puy to Lyon,194 km (121 mi),Stage with mountain(s),Jean Forestier (FRA)
1954,1954-07-26,17,Lyon to Grenoble,182 km (113 mi),Stage with mountain(s),Lucien Lazaridès (FRA)
1954,1954-07-27,18,Grenoble to Briançon,216 km (134 mi),Stage with mountain(s),Louison Bobet (FRA)
1954,1954-07-28,19,Briançon to Aix-les-Bains,221 km (137 mi),Stage with mountain(s),Jean Dotto (FRA)
1954,1954-07-29,20,Aix les Bains to Besançon,243 km (151 mi),Stage with mountain(s),Lucien Teisseire (FRA)
1954,1954-07-30,21a,Besançon to Épinal,134 km (83 mi),Plain stage,François Mahé (FRA)
1954,1954-07-30,21b,Epinal to Nancy,72 km (45 mi),Individual time trial,Louison Bobet (FRA)
1954,1954-07-31,22,Nancy to Troyes,216 km (134 mi),Plain stage,Fred De Bruyne (BEL)
1954,1954-08-01,23,Troyes to Paris,180 km (112 mi),Plain stage,Robert Varnajo (FRA)
1955,1955-07-07,1a,Le Havre to Dieppe,102 km (63 mi),Plain stage,Miguel Poblet (ESP)
1955,1955-07-07,1b,Dieppe,12.5 km (8 mi),Team time trial,Netherlands
1955,1955-07-08,2,Dieppe to Roubaix,204 km (127 mi),Plain stage,Antonin Rolland (FRA)
1955,1955-07-09,3,Roubaix to Namur (Belgium),210 km (130 mi),Plain stage,Louison Bobet (FRA)
1955,1955-07-10,4,Namur (Belgium) to Metz,225 km (140 mi),Plain stage,Willy Kemp (LUX)
1955,1955-07-11,5,Metz to Colmar,229 km (142 mi),Plain stage,Roger Hassenforder (FRA)
1955,1955-07-12,6,Colmar to Zürich (Switzerland),195 km (121 mi),Plain stage,André Darrigade (FRA)
1955,1955-07-13,7,Zürich (Switzerland) to Thonon-les-Bains,267 km (166 mi),Plain stage,Jos Hinsen (NED)
1955,1955-07-14,8,Thonon-les-Bains to Briançon,253 km (157 mi),Stage with mountain(s),Charly Gaul (LUX)
1955,1955-07-15,9,Briançon to Monaco,275 km (171 mi),Stage with mountain(s),Raphaël Géminiani (FRA)
1955,1955-07-17,10,Monaco to Marseille,240 km (149 mi),Plain stage,Lucien Lazaridès (FRA)
1955,1955-07-18,11,Marseille to Avignon,198 km (123 mi),Stage with mountain(s),Louison Bobet (FRA)
1955,1955-07-19,12,Avignon to Millau,240 km (149 mi),Stage with mountain(s),Alessandro Fantini (ITA)
1955,1955-07-20,13,Millau to Albi,205 km (127 mi),Plain stage,Daan de Groot (NED)
1955,1955-07-21,14,Albi to Narbonne,156 km (97 mi),Stage with mountain(s),Louis Caput (FRA)
1955,1955-07-22,15,Narbonne to Ax-les-Thermes,151 km (94 mi),Plain stage,Luciano Pezzi (ITA)
1955,1955-07-24,16,Ax-les-Thermes to Toulouse,123 km (76 mi),Plain stage,Rik Van Steenbergen (BEL)
1955,1955-07-25,17,Toulouse to Saint-Gaudens,250 km (155 mi),Stage with mountain(s),Charly Gaul (LUX)
1955,1955-07-26,18,Saint-Gaudens to Pau,205 km (127 mi),Stage with mountain(s),Jean Brankart (BEL)
1955,1955-07-27,19,Pau to Bordeaux,195 km (121 mi),Plain stage,Wout Wagtmans (NED)
1955,1955-07-28,20,Bordeaux to Poitiers,243 km (151 mi),Plain stage,Jean Forestier (FRA)
1955,1955-07-29,21,Châtellerault to Tours,68.6 km (43 mi),Individual time trial,Jean Brankart (BEL)
1955,1955-07-30,22,Tours to Paris,229 km (142 mi),Plain stage,Miguel Poblet (ESP)
1956,1956-07-05,1,Reims to Liège (Belgium),223 km (139 mi),Plain stage,André Darrigade (FRA)
1956,1956-07-06,2,Liège (Belgium) to Lille,217 km (135 mi),Plain stage,Fred De Bruyne (BEL)
1956,1956-07-07,3,Lille to Rouen,225 km (140 mi),Plain stage,Arigo Padovan (ITA)
1956,1956-07-08,4a,Circuit de Rouen-Les-Essarts,15.1 km (9 mi),Individual time trial,Charly Gaul (LUX)
1956,1956-07-08,4b,Rouen to Caen,125 km (78 mi),Plain stage,Roger Hassenforder (FRA)
1956,1956-07-09,5,Caen to Saint-Malo,189 km (117 mi),Plain stage,Joseph Morvan (FRA)
1956,1956-07-10,6,Saint-Malo to Lorient,192 km (119 mi),Plain stage,Fred De Bruyne (BEL)
1956,1956-07-11,7,Lorient to Angers,244 km (152 mi),Plain stage,Alessandro Fantini (ITA)
1956,1956-07-12,8,Angers to La Rochelle,180 km (112 mi),Plain stage,Miguel Poblet (ESP)
1956,1956-07-13,9,La Rochelle to Bordeaux,219 km (136 mi),Plain stage,Roger Hassenforder (FRA)
1956,1956-07-15,10,Bordeaux to Bayonne,201 km (125 mi),Plain stage,Fred De Bruyne (BEL)
1956,1956-07-16,11,Bayonne to Pau,255 km (158 mi),Stage with mountain(s),Nino Defilippis (ITA)
1956,1956-07-17,12,Pau to Luchon,130 km (81 mi),Stage with mountain(s),Jean-Pierre Schmitz (LUX)
1956,1956-07-18,13,Luchon to Toulouse,176 km (109 mi),Stage with mountain(s),Nino Defilippis (ITA)
1956,1956-07-19,14,Toulouse to Montpellier,231 km (144 mi),Plain stage,Roger Hassenforder (FRA)
1956,1956-07-20,15,Montpellier to Aix-en-Provence,204 km (127 mi),Plain stage,Joseph Thomin (FRA)
1956,1956-07-22,16,Aix-en-Provence to Gap,203 km (126 mi),Stage with mountain(s),Jean Forestier (FRA)
1956,1956-07-23,17,Gap to Turin (Italy),234 km (145 mi),Stage with mountain(s),Nino Defilippis (ITA)
1956,1956-07-24,18,Turin (Italy) to Grenoble,250 km (155 mi),Stage with mountain(s),Charly Gaul (LUX)
1956,1956-07-25,19,Grenoble to Saint-Étienne,173 km (107 mi),Stage with mountain(s),Stan Ockers (BEL)
1956,1956-07-26,20,Saint-Étienne to Lyon,73 km (45 mi),Individual time trial,Miguel Bover (ESP)
1956,1956-07-27,21,Lyon to Montluçon,237 km (147 mi),Stage with mountain(s),Roger Hassenforder (FRA)
1956,1956-07-28,22,Montluçon to Paris,331 km (206 mi),Plain stage,Gastone Nencini (ITA)
1957,1957-06-27,1,Nantes to Granville,204 km (127 mi),Plain stage,André Darrigade (FRA)
1957,1957-06-28,2,Granville to Caen,226 km (140 mi),Plain stage,René Privat (FRA)
1957,1957-06-29,3a,"Circuit de la Prairie, Caen",15 km (9.3 mi),Team time trial,France
1957,1957-06-29,3b,Caen to Rouen,134 km (83 mi),Plain stage,Jacques Anquetil (FRA)
1957,1957-06-30,4,Rouen to Roubaix,232 km (144 mi),Plain stage,Marcel Janssens (BEL)
1957,1957-07-01,5,Roubaix to Charleroi,170 km (110 mi),Plain stage,Gilbert Bauvin (FRA)
1957,1957-07-02,6,Charleroi to Metz,248 km (154 mi),Plain stage,André Trochut (FRA)
1957,1957-07-03,7,Metz to Colmar,223 km (139 mi),Stage with mountain(s),Roger Hassenforder (FRA)
1957,1957-07-04,8,Colmar to Besançon,192 km (119 mi),Plain stage,Pierino Baffi (ITA)
1957,1957-07-05,9,Besançon to Thonon-les-Bains,188 km (117 mi),Plain stage,Jacques Anquetil (FRA)
1957,1957-07-07,10,Thonon-les-Bains to Briançon,247 km (153 mi),Stage with mountain(s),Gastone Nencini (ITA)
1957,1957-07-08,11,Briançon to Cannes,286 km (178 mi),Stage with mountain(s),René Privat (FRA)
1957,1957-07-09,12,Cannes to Marseille,239 km (149 mi),Stage with mountain(s),Jean Stablinski (FRA)
1957,1957-07-10,13,Marseille to Alès,160 km (99 mi),Plain stage,Nino Defilippis (ITA)
1957,1957-07-11,14,Alès to Perpignan,246 km (153 mi),Plain stage,Roger Hassenforder (FRA)
1957,1957-07-12,15a,Perpignan to Barcelona (Spain),197 km (122 mi),Plain stage,René Privat (FRA)
1957,1957-07-12,15b,Montjuïc circuit (Spain),9.8 km (6.1 mi),Individual time trial,Jacques Anquetil (FRA)
1957,1957-07-14,16,Barcelona (Spain) to Ax-les-Thermes,220 km (140 mi),Stage with mountain(s),Jean Bourlès (FRA)
1957,1957-07-15,17,Ax-les-Thermes to Saint-Gaudens,236 km (147 mi),Stage with mountain(s),Nino Defilippis (ITA)
1957,1957-07-16,18,Saint-Gaudens to Pau,207 km (129 mi),Stage with mountain(s),Gastone Nencini (ITA)
1957,1957-07-17,19,Pau to Bordeaux,194 km (121 mi),Plain stage,Pierino Baffi (ITA)
1957,1957-07-18,20,Bordeaux to Libourne,66 km (41 mi),Individual time trial,Jacques Anquetil (FRA)
1957,1957-07-19,21,Libourne to Tours,317 km (197 mi),Plain stage,André Darrigade (FRA)
1957,1957-07-20,22,Tours to Paris,227 km (141 mi),Plain stage,André Darrigade (FRA)
1958,1958-06-26,1,Brussels (Belgium) to Ghent (Belgium),184 km (114 mi),Plain stage,André Darrigade (FRA)
1958,1958-06-27,2,Ghent (Belgium) to Dunkirk,198 km (123 mi),Plain stage,Gerrit Voorting (NED)
1958,1958-06-28,3,Dunkirk to Mers-les-Bains,177 km (110 mi),Plain stage,Gilbert Bauvin (FRA)
1958,1958-06-29,4,Le Tréport to Versailles,205 km (127 mi),Plain stage,Jean Gainche (FRA)
1958,1958-06-30,5,Versailles to Caen,232 km (144 mi),Plain stage,Tino Sabbadini (FRA)
1958,1958-07-01,6,Caen to Saint-Brieuc,223 km (139 mi),Plain stage,Martin van Geneugden (BEL)
1958,1958-07-02,7,Saint-Brieuc to Brest,170 km (110 mi),Plain stage,Brian Robinson (GBR)
1958,1958-07-03,8,Châteaulin,46 km (29 mi),Individual time trial,Charly Gaul (LUX)
1958,1958-07-04,9,Quimper to Saint-Nazaire,206 km (128 mi),Plain stage,André Darrigade (FRA)
1958,1958-07-05,10,Saint-Nazaire to Royan,255 km (158 mi),Plain stage,Pierino Baffi (ITA)
1958,1958-07-06,11,Royan to Bordeaux,137 km (85 mi),Plain stage,Arigo Padovan (ITA)
1958,1958-07-07,12,Bordeaux to Dax,161 km (100 mi),Plain stage,Martin van Geneugden (BEL)
1958,1958-07-08,13,Dax to Pau,230 km (140 mi),Stage with mountain(s),Louis Bergaud (FRA)
1958,1958-07-09,14,Pau to Luchon,129 km (80 mi),Stage with mountain(s),Federico Bahamontes (ESP)
1958,1958-07-10,15,Luchon to Toulouse,176 km (109 mi),Stage with mountain(s),André Darrigade (FRA)
1958,1958-07-11,16,Toulouse to Béziers,187 km (116 mi),Plain stage,Pierino Baffi (ITA)
1958,1958-07-12,17,Béziers to Nîmes,189 km (117 mi),Plain stage,André Darrigade (FRA)
1958,1958-07-13,18,Bédoin to Mont-Ventoux,21 km (13 mi),Mountain time trial,Charly Gaul (LUX)
1958,1958-07-14,19,Carpentras to Gap,178 km (111 mi),Stage with mountain(s),Gastone Nencini (ITA)
1958,1958-07-15,20,Gap to Briançon,165 km (103 mi),Stage with mountain(s),Federico Bahamontes (ESP)
1958,1958-07-16,21,Briançon to Aix-les-Bains,219 km (136 mi),Stage with mountain(s),Charly Gaul (LUX)
1958,1958-07-17,22,Aix-les-Bains to Besançon,237 km (147 mi),Stage with mountain(s),André Darrigade (FRA)
1958,1958-07-18,23,Besançon to Dijon,74 km (46 mi),Individual time trial,Charly Gaul (LUX)
1958,1958-07-19,24,Dijon to Paris,320 km (200 mi),Plain stage,Pierino Baffi (ITA)
1959,1959-06-25,1,Mulhouse to Metz,238 km (148 mi),Plain stage,André Darrigade (FRA)
1959,1959-06-26,2,Metz to Namur (Belgium),234 km (145 mi),Plain stage,Vito Favero (ITA)
1959,1959-06-27,3,Namur (Belgium) to Roubaix,217 km (135 mi),Plain stage,Robert Cazala (FRA)
1959,1959-06-28,4,Roubaix to Rouen,230 km (140 mi),Plain stage,Dino Bruni (ITA)
1959,1959-06-29,5,Rouen to Rennes,286 km (178 mi),Plain stage,Jean Graczyk (FRA)
1959,1959-06-30,6,Blain to Nantes,45 km (28 mi),Individual time trial,Roger Rivière (FRA)
1959,1959-07-01,7,Nantes to La Rochelle,190 km (120 mi),Plain stage,Roger Hassenforder (FRA)
1959,1959-07-02,8,La Rochelle to Bordeaux,201 km (125 mi),Plain stage,Michel Dejouhannet (FRA)
1959,1959-07-03,9,Bordeaux to Bayonne,207 km (129 mi),Plain stage,Marcel Queheille (FRA)
